iter	Passed	Remaining
234	645	2100
235	646	2092
236	647	2084
237	648	2076
238	649	2067
239	650	2059
240	651	2052
241	652	2044
242	653	2036
243	656	2034
244	658	2029
245	659	2021
246	660	2014
247	661	2007
248	663	1999
249	664	1992
250	665	1985
251	666	1977
252	667	1970
253	668	1963
254	672	1963
255	674	1959
256	675	1952
257	676	1945
258	677	1939
259	678	1932
260	680	1925
261	681	1918
262	682	1911
263	683	1905
264	687	1906
265	689	1902
266	690	1895
267	691	1889
268	692	1882
269	693	1876
270	695	1869
271	696	1863
272	697	1856
273	698	1850
274	701	1848
275	703	1845
276	704	1839
277	706	1833
278	707	1827
279	708	1822
280	709	1816
281	711	1810
282	712	1804
283	713	1798
284	716	1798
285	719	1795
286	720	1789
287	721	1784
288	723	1779
289	724	1774
290	726	1768
291	727	1763
292	728	1757
293	729	1751
294	734	1754
295	735	1749
296	737	1744
297	739	1741
298	740	1736
299	741	1730
300	742	1725
301	744	1720
302	749	1724
303	751	1720
304	752	1714
305	754	1710
306	755	1705
307	756	1699
308	757	1694
309	758	1688
310	759	1683
311	762	1682
312	765	1679
313	766	1674
314	767	1669
315	769	1665
316	770	1660
317	771	1654
318	772	1649
319	773	1644
320	774	1639
321	777	1637
322	780	1635
323	781	1630
324	782	1625
325	784	1620
326	785	1615
327	786	1610
328	787	1606
329	788	1601
330	789	1596
331	792	1594
332	795	1592
333	796	1588
334	797	1583
335	799	1579
336	800	1574
337	801	1569
338	802	1565
339	803	1560
340	804	1555
341	808	1554
342	810	1552
343	811	1548
344	813	1543
345	814	1539
346	815	1534
347	816	1529
348	817	1525
349	818	1520
350	819	1516
351	822	1513
352	825	1513
353	826	1508
354	828	1504
355	829	1500
356	830	1496
357	831	1491
358	833	1487
359	834	1482
360	835	1478
361	839	1479
362	842	1478
363	843	1473
364	844	1469
365	846	1465
366	847	1461
367	848	1457
368	849	1452
369	850	1448
370	854	1447
371	856	1445
372	857	1441
373	858	1436
374	859	1432
375	860	1428
376	861	1423
377	862	1419
378	863	1415
379	864	1411
380	866	1407
381	869	1406
382	871	1403
383	872	1399
384	873	1395
385	874	1391
386	876	1387
387	877	1383
388	878	1379
389	879	1375
390	880	1371
391	884	1371
392	886	1369
393	887	1365
394	888	1361
395	890	1357
396	891	1353
397	892	1349
398	893	1345
399	894	1341
400	895	1337
401	897	1334
402	900	1333
403	902	1330
404	903	1327
405	904	1323
406	905	1319
407	906	1315
408	907	1311
409	909	1308
410	910	1304
411	911	1300
412	914	1300
413	916	1297
414	917	1293
415	919	1290
416	920	1286
417	921	1283
418	922	1279
419	923	1275
420	924	1271
421	925	1267
422	926	1264
423	929	1263
424	932	1261
425	933	1257
426	934	1253
427	935	1250
428	936	1246
429	937	1243
430	939	1239
431	940	1236
432	941	1232
433	942	1228
434	946	1229
435	947	1226
436	949	1222
437	950	1219
438	951	1215
439	952	1212
440	953	1208
441	954	1205
442	955	1201
443	956	1198
444	959	1197
445	961	1194
446	963	1191
447	964	1188
448	965	1185
449	966	1181
450	967	1178
451	969	1174
452	970	1171
453	971	1167
454	972	1164
